pair,date,high,low,open,close,volume
USDT_BTC,1609502400,29600,29150,29313.49,29233.49,123253838.2
USDT_BTC,1609506000,29470,29200,29233.49,29464.79,64952612.18
USDT_BTC,1609509600,29530,29266.15,29464.79,29327.84,76824362.53
USDT_BTC,1609513200,29391,29030.14,29327.83,29188.67,81232002.49
USDT_BTC,1609516800,29360,29125,29188.67,29300.57,43610391.87
USDT_BTC,1609520400,29339.76,28937,29300.79,29079.64,73023440.34
USDT_BTC,1609524000,29259.98,28624.57,29077.59,29072.7,122480565.7
USDT_BTC,1609527600,29125.32,28950,29072.7,29029.04,47324728.28
USDT_BTC,1609531200,29279.72,28880.37,29029.04,29200.96,53590098.14
USDT_BTC,1609534800,29289.82,29130,29200.97,29160.39,42285361.52
USDT_BTC,1609538400,29326.74,29104.57,29163.17,29262.32,32972283.54
USDT_BTC,1609542000,29338.89,29228.14,29262.32,29331.69,28443882.37
USDT_BTC,1609545600,29338.59,28946.53,29331.7,29197.48,76856531.56
USDT_BTC,1609549200,29400,29100,29197.93,29359.47,55385402.79
USDT_BTC,1609552800,29469,29320.01,29359.46,29323.82,50111457.75
USDT_BTC,1609556400,29382.49,29256.85,29323.82,29351.95,33963115.17
USDT_BTC,1609560000,29396,29220,29351.95,29349.63,28985783.95
USDT_BTC,1609563600,29590,29349.63,29349.63,29589.99,81957934.92
USDT_BTC,1609567200,29745,29450,29589.99,29709.07,89791157.02
USDT_BTC,1609570800,29820.5,29623.31,29709.06,29750,91222945.58
USDT_BTC,1609574400,29849.11,29640,29751.47,29844.51,70213292.49
USDT_BTC,1609578000,29899,29578.05,29844.52,29612.87,94891130.35
USDT_BTC,1609581600,29829,29473.91,29612.88,29680.99,68694488.76
USDT_BTC,1609585200,29780.53,29622.79,29679.51,29755,40570945.42
USDT_BTC,1609588800,30888,29741.39,29754.99,30604.03,387025691.7
USDT_BTC,1609592400,31561.87,30521,30604.03,31541.17,284862696.7
USDT_BTC,1609596000,31567.89,31065,31546.06,31290.53,201609364.5
USDT_BTC,1609599600,31800,31236.37,31290.53,31691.29,177435149.2
USDT_BTC,1609603200,33000,31616.42,31691.09,32482.28,500065150.7
USDT_BTC,1609606800,32935,32394.77,32484.28,32856.96,209101591.5
USDT_BTC,1609610400,33300,32421,32856.95,32999.98,235363454.1
USDT_BTC,1609614000,33220,32690,32999.98,33027.2,192991798.3
USDT_BTC,1609617600,33061.37,30550,33027.2,30667.22,504482345.1
USDT_BTC,1609621200,32005.94,30300,30669.43,31694.59,326513926.9
